month,unique_carrier,carrier_group_new,total_gallons,total_cost,year
1,5V,1,284362.0,569497,2016
1,ABX,2,193054.0,461092,2016
1,EV,3,81827.0,159104,2016
1,G4,3,12264170.0,15650180,2016
1,KH,1,413456.0,434504,2016
1,OO,3,5444514.0,8161174,2016
1,S5,2,3793819.0,3841009,2016
1,WP,1,97142.0,116920,2016
1,YX,2,12732476.0,14986287,2016
1,ZW,2,6016332.0,7953100,2016
2,5V,1,287095.0,619519,2016
2,ABX,2,252917.0,554065,2016
2,EV,3,76666.0,178088,2016
2,G4,3,12815963.0,16053275,2016
2,WL,1,36971.0,93306,2016
2,KD,1,18351.0,18351,2016
2,KH,1,412808.0,427991,2016
2,OO,3,5287524.0,7860757,2016
2,S5,2,3082947.0,3177980,2016
2,WP,1,92320.0,87273,2016
2,YX,2,11730250.0,11499270,2016
2,ZW,2,5867191.0,6239743,2016
3,0WQ,1,12505.0,32637,2016
3,5V,1,368114.0,815240,2016
3,ABX,2,312309.0,590264,2016
3,EV,3,82715.0,194962,2016
3,G4,3,16442818.0,22071234,2016
3,KD,1,40542.0,40542,2016
3,KH,1,458733.0,543848,2016
3,L2,1,248283.0,382815,2016
3,OO,3,6067876.0,8768054,2016
3,S5,2,4370846.0,4851196,2016
3,WP,1,121341.0,132902,2016
3,YX,2,13995700.0,15033057,2016
3,ZW,2,6588736.0,7498977,2016
4,5V,1,343885.0,713613,2016
4,ABX,2,161669.0,320880,2016
4,EV,3,77831.0,220371,2016
4,G4,3,13408496.0,18602361,2016
4,KD,1,7812.0,7812,2016
4,KH,1,417640.0,518317,2016
4,L2,1,195894.0,310424,2016
4,OO,3,6079389.0,9365067,2016
4,S5,2,2625542.0,3036717,2016
4,WP,1,126195.0,160992,2016
4,YX,2,12792878.0,14688177,2016
4,ZW,2,6281133.0,7769570,2016
5,0WQ,1,23873.0,67800,2016
5,5V,1,338719.0,794232,2016
5,ABX,2,74254.0,140340,2016
5,EV,3,85605.0,198677,2016
5,G4,3,13615505.0,21056684,2016
5,KD,1,14921.0,14921,2016
5,KH,1,420758.0,575838,2016
5,OO,3,6375164.0,10830449,2016
5,S5,2,2922167.0,3854389,2016
5,WP,1,128211.0,177108,2016
5,YX,2,11820783.0,14889666,2016
5,ZW,2,6510272.0,8792834,2016
6,0WQ,1,26382.0,82048,2016
6,5V,1,398853.0,995143,2016
6,ABX,2,41106.0,68116,2016
6,EV,3,80305.0,204875,2016
6,G4,3,17128733.0,28784055,2016
6,KH,1,414878.0,615846,2016
