payload,distance,air_time,unique_carrier,region,carrier_group,carrier_group_new,origin,dest,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,passenger_ratio,transported(lb)
56000,64,247,7S,D,1,5,KTS,OME,4,412,2,2015,3,1,0.0,38099
11200,7,9,7S,D,1,5,KTS,TLA,4,412,2,2015,3,1,0.0,3417
16800,196,203,7S,D,1,5,KTS,UNK,4,412,2,2015,3,1,0.0,2183
5600,8,9,7S,D,1,5,KUK,ATT,4,412,2,2015,3,1,0.0,1932
1275,24,49,7S,D,1,5,KUK,BET,0,35,2,2015,3,1,0.0,0
5600,71,24,7S,D,1,5,KUK,MLL,4,412,2,2015,3,1,0.0,2723
5600,4,4,7S,D,1,5,KUK,NUP,4,412,2,2015,3,1,0.0,1461
61600,79,322,7S,D,1,5,KVL,OTZ,4,412,2,2015,3,1,0.0,128
8925,77,265,7S,D,1,5,KWK,BET,0,35,2,2015,3,1,0.0,0
33600,77,235,7S,D,1,5,KWK,BET,4,412,2,2015,3,1,0.0,6074
3300,71,28,7S,D,1,5,KWN,BET,4,416,1,2015,3,1,0.0,0
22400,71,169,7S,D,1,5,KWN,BET,4,412,2,2015,3,1,0.0,361
3300,71,27,7S,D,1,5,KWN,BET,4,416,1,2015,3,1,0.0,0
5600,45,20,7S,D,1,5,KWN,GNU,4,412,2,2015,3,1,0.0,2380
5600,51,22,7S,D,1,5,KWN,PTU,4,412,2,2015,3,1,0.0,216
3300,11,5,7S,D,1,5,KWT,AKI,4,416,1,2015,3,1,0.0,1080
3000,385,90,7S,D,1,5,KWT,ANC,4,479,1,2015,3,1,0.0,0
5600,84,42,7S,D,1,5,KWT,ANI,4,412,2,2015,3,1,0.0,0
2550,13,18,7S,D,1,5,KWT,BET,0,35,2,2015,3,1,0.0,0
1275,84,43,7S,D,1,5,MLL,ANI,0,35,1,2015,3,1,0.0,0
1275,84,48,7S,D,1,5,MLL,ANI,0,35,1,2015,3,1,1.0,0
2550,69,62,7S,D,1,5,MLL,ATT,0,35,2,2015,3,1,0.0,760
2550,75,81,7S,D,1,5,MLL,BET,0,35,2,2015,3,1,0.0,0
