fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-08,DL,DL_CODESHARE,DL,6221,G7,N656CA,6221,11618,EWR,"Newark, NJ",11433,DTW,"Detroit, MI",1855,1847,-8,50,1937,2105,10,2109,2115,6,0,,0,N,134,148,88,1,488,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6223,G7,N374CA,6223,11433,DTW,"Detroit, MI",13244,MEM,"Memphis, TN",1000,957,-3,13,1010,1048,8,1120,1056,-24,0,,0,N,140,119,98,1,610,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6223,G7,N374CA,6223,13244,MEM,"Memphis, TN",11433,DTW,"Detroit, MI",1155,1147,-8,11,1158,1422,6,1450,1428,-22,0,,0,N,115,101,84,1,610,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6224,G7,N331CA,6224,11278,DCA,"Washington, DC",14492,RDU,"Raleigh/Durham, NC",2000,1954,-6,23,2017,2058,3,2116,2101,-15,0,,0,N,76,67,41,1,227,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6226,G7,N182GJ,6226,11433,DTW,"Detroit, MI",13296,MHT,"Manchester, NH",955,1013,18,22,1035,1147,5,1148,1152,4,0,,0,N,113,99,72,1,610,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6226,G7,N182GJ,6226,13296,MHT,"Manchester, NH",11433,DTW,"Detroit, MI",1223,1221,-2,15,1236,1416,6,1434,1422,-12,0,,0,N,131,121,100,1,610,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6228,G7,N187GJ,6228,14492,RDU,"Raleigh/Durham, NC",11278,DCA,"Washington, DC",630,621,-9,17,638,718,7,746,725,-21,0,,0,N,76,64,40,1,227,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6229,G7,N642CA,6229,11433,DTW,"Detroit, MI",15016,STL,"St. Louis, MO",1740,1734,-6,17,1751,1808,3,1832,1811,-21,0,,0,N,112,97,77,1,440,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6229,G7,N642CA,6229,15016,STL,"St. Louis, MO",11433,DTW,"Detroit, MI",1907,1856,-11,10,1906,2116,5,2146,2121,-25,0,,0,N,99,85,70,1,440,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6230,G7,N390CA,6230,11433,DTW,"Detroit, MI",15016,STL,"St. Louis, MO",1525,1606,41,18,1624,1639,4,1623,1643,20,0,,0,N,118,97,75,1,440,20,0,0,0,0,,,,
2019-01-08,DL,DL_CODESHARE,DL,6230,G7,N390CA,6230,15016,STL,"St. Louis, MO",11433,DTW,"Detroit, MI",1658,1738,40,14,1752,2003,7,1940,2010,30,0,,0,N,102,92,71,1,440,0,0,15,0,15,,,,
2019-01-08,DL,DL_CODESHARE,DL,6232,G7,N317CA,6232,14321,PWM,"Portland, ME",11433,DTW,"Detroit, MI",639,635,-4,76,751,939,4,904,943,39,0,,0,N,145,188,108,1,668,0,0,39,0,0,,,,
2019-01-08,DL,DL_CODESHARE,DL,6233,G7,N354CA,6233,14492,RDU,"Raleigh/Durham, NC",11618,EWR,"Newark, NJ",2025,2010,-15,38,2048,2157,5,2217,2202,-15,0,,0,N,112,112,69,1,416,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6235,G7,N379CA,6235,11433,DTW,"Detroit, MI",14321,PWM,"Portland, ME",2010,2009,-1,17,2026,2148,5,2218,2153,-25,0,,0,N,128,104,82,1,668,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6236,G7,N658CA,6236,14492,RDU,"Raleigh/Durham, NC",15304,TPA,"Tampa, FL",926,922,-4,15,937,1101,2,1124,1103,-21,0,,0,N,118,101,84,1,587,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6237,G7,N369CA,6237,11433,DTW,"Detroit, MI",13232,MDW,"Chicago, IL",1750,1741,-9,14,1755,1742,8,1827,1750,-37,0,,0,N,97,69,47,1,228,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6237,G7,N369CA,6237,13232,MDW,"Chicago, IL",11433,DTW,"Detroit, MI",1908,1844,-24,12,1856,2035,10,2122,2045,-37,0,,0,N,74,61,39,1,228,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6238,G7,N668CA,6238,11433,DTW,"Detroit, MI",11618,EWR,"Newark, NJ",1740,1734,-6,35,1809,1918,5,1941,1923,-18,0,,0,N,121,109,69,1,488,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6240,G7,N184GJ,6240,11433,DTW,"Detroit, MI",15016,STL,"St. Louis, MO",2020,2017,-3,18,2035,2045,3,2126,2048,-38,0,,0,N,126,91,70,1,440,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6241,G7,N390CA,6241,11433,DTW,"Detroit, MI",14730,SDF,"Louisville, KY",1210,1202,-8,11,1213,1320,3,1342,1323,-19,0,,0,N,92,81,67,1,306,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6241,G7,N390CA,6241,14730,SDF,"Louisville, KY",11433,DTW,"Detroit, MI",1417,1414,-3,13,1427,1521,6,1548,1527,-21,0,,0,N,91,73,54,1,306,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6243,G7,N187GJ,6243,11278,DCA,"Washington, DC",14492,RDU,"Raleigh/Durham, NC",1159,1149,-10,16,1205,1247,10,1312,1257,-15,0,,0,N,73,68,42,1,227,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6244,G7,N317CA,6244,11433,DTW,"Detroit, MI",11537,ELM,"Elmira/Corning, NY",1550,1544,-6,14,1558,1648,2,1721,1650,-31,0,,0,N,91,66,50,1,332,,,,,,,,,
2019-01-08,DL,DL_CODESHARE,DL,6244,G7,N317CA,6244,11537,ELM,"Elmira/Corning, NY",11433,DTW,"Detroit, MI",1756,1745,-11,8,1753,1858,3,1937,1901,-36,0,,0,N,101,76,65,1,332,,,,,,,,,
