fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-12-19,AA,AA,AA,885,AA,N961UW,885,10397,ATL,"Atlanta, GA",12953,LGA,"New York, NY",1536,1529,-7,30,1559,1743,5,1744,1748,4,0,,0,N,128,139,104,1,762,,,,,,,,,
2019-12-19,AA,AA,AA,890,AA,N317PG,890,10397,ATL,"Atlanta, GA",12892,LAX,"Los Angeles, CA",1819,1834,15,11,1845,2159,18,2040,2217,,0,,1,N,321,,,1,1947,,,,,,,,,
2019-12-19,AA,AA,AA,1309,AA,N956AN,1309,10397,ATL,"Atlanta, GA",11298,DFW,"Dallas/Fort Worth, TX",1412,1422,10,15,1437,1535,12,1545,1547,2,0,,0,N,153,145,118,1,731,,,,,,,,,
2019-12-19,AA,AA,AA,1365,AA,N828AW,1365,10397,ATL,"Atlanta, GA",11298,DFW,"Dallas/Fort Worth, TX",1224,1226,2,11,1237,1335,14,1355,1349,-6,0,,0,N,151,143,118,1,731,,,,,,,,,
2019-12-19,AA,AA,AA,1409,AA,N979NN,1409,10397,ATL,"Atlanta, GA",12892,LAX,"Los Angeles, CA",1608,1612,4,9,1621,1748,5,1824,1753,-31,0,,0,N,316,281,267,1,1947,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5435,9E,N922XJ,5435,10397,ATL,"Atlanta, GA",12197,HPN,"White Plains, NY",730,725,-5,14,739,927,6,943,933,-10,0,,0,N,133,128,108,1,780,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5452,9E,N914XJ,5452,10397,ATL,"Atlanta, GA",10408,ATW,"Appleton, WI",1501,1456,-5,11,1507,1553,7,1620,1600,-20,0,,0,N,139,124,106,1,765,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5502,9E,N368CA,5502,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",915,905,-10,18,923,1005,5,1033,1010,-23,0,,0,N,138,125,102,1,694,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5514,9E,N295PQ,5514,10397,ATL,"Atlanta, GA",14814,SHV,"Shreveport, LA",1953,1949,-4,10,1959,2029,5,2058,2034,-24,0,,0,N,125,105,90,1,551,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5015,9E,N331PQ,5015,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",1738,1806,28,13,1819,1849,3,1837,1852,15,0,,0,N,59,46,30,1,152,15,0,0,0,0,,,,
2019-12-19,DL,DL_CODESHARE,DL,5029,9E,N147PQ,5029,10397,ATL,"Atlanta, GA",11973,GPT,"Gulfport/Biloxi, MS",855,852,-3,51,943,936,6,920,942,22,0,,0,N,85,110,53,1,352,0,0,22,0,0,,,,
2019-12-19,DL,DL_CODESHARE,DL,5030,9E,N153PQ,5030,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",847,843,-4,21,904,931,4,948,935,-13,0,,0,N,61,52,27,1,152,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5086,9E,N920XJ,5086,10397,ATL,"Atlanta, GA",10781,BTR,"Baton Rouge, LA",810,806,-4,25,831,844,4,858,848,-10,0,,0,N,108,102,73,1,448,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5038,9E,N836AY,5038,10397,ATL,"Atlanta, GA",10185,AEX,"Alexandria, LA",1621,1619,-2,12,1631,1647,3,1713,1650,-23,0,,0,N,112,91,76,1,500,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5041,9E,N8976E,5041,10397,ATL,"Atlanta, GA",11150,CSG,"Columbus, GA",1543,1542,-1,19,1601,1624,4,1631,1628,-3,0,,0,N,48,46,23,1,83,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,5044,9E,N927EV,5044,10397,ATL,"Atlanta, GA",11612,EVV,"Evansville, IN",2119,2119,0,24,2143,2140,6,2147,2146,-1,0,,0,N,88,87,57,1,350,,,,,,,,,
